Time[s],UWB_Simple::Anchor1UwbTx::Index_1,UWB_Simple::Anchor1UwbTx::Dis_1,UWB_Simple::Anchor2UwbTx::Index_2,UWB_Simple::Anchor2UwbTx::Dis_2,UWB_Simple::Anchor3UwbTx::Index_3,UWB_Simple::Anchor3UwbTx::Dis_3,UWB_Simple::Anchor4UwbTx::Index_4,UWB_Simple::Anchor4UwbTx::Dis_4,UWB_Simple::Anchor5UwbTx::Index_5,UWB_Simple::Anchor5UwbTx::Dis_5,UWB_Simple::CarSts::Carsts_Y,UWB_Simple::CarSts::Carsts_X,UWB_Simple::CarSts::Carsts_TestSts,UWB_Simple::CarSts::Carsts_RobotTaskID,UWB_Simple::CarSts::Carsts_RobotInMotion,UWB_Simple::CarSts::Carsts_Robot_Z,UWB_Simple::CarSts::Carsts_Robot_Y,UWB_Simple::CarSts::Carsts_Robot_X,UWB_Simple::CarSts::Carsts_RealTi,UWB_Simple::CarSts::CarSts_CarTaskID,UWB_Simple::CarSts::Carsts_CarInMotion,UWB_Simple::CarSts::Carsts_Angle
1.415993,,,,,61944,117,,,,,,,,,,,,,,,,
1.473100,,,,,,,,,,,3,4,0,0,0,560,-3,37,638682351670000000,-1,0,178000
1.503770,,,61992,445,,,,,,,,,,,,,,,,,,
1.503880,,,,,,,,,61992,329,,,,,,,,,,,,
1.505305,,,,,,,61992,331,,,,,,,,,,,,,,
1.506525,61992,566,,,,,,,,,,,,,,,,,,,,
1.506636,,,,,61992,111,,,,,,,,,,,,,,,,
1.596125,,,,,,,,,,,3,3,0,0,0,560,-3,37,638682351670000000,-1,0,178000
1.597593,,,,,,,,,,,2,3,0,0,0,560,-3,37,638682351670000000,-1,0,178000
1.601070,,,,,,,,,,,3,3,0,0,0,560,-3,37,638682351670000000,-1,0,178000
1.601180,62040,566,,,,,,,,,,,,,,,,,,,,
1.601291,,,,,62040,116,,,,,,,,,,,,,,,,
1.604047,,,62040,445,,,,,,,,,,,,,,,,,,
1.605513,,,,,,,,,62040,332,,,,,,,,,,,,
1.606694,,,,,,,62040,0,,,,,,,,,,,,,,
1.611174,,,,,,,,,,,3,3,0,0,0,560,-3,37,638682351670000000,-1,0,178000
1.616087,,,,,,,,,,,2,3,0,0,0,560,-3,37,638682351670000000,-1,0,178000
1.617545,,,,,,,,,,,2,3,0,0,0,560,-3,37,638682351670000000,-1,0,178000
1.676073,,,,,,,,,,,3,3,0,0,0,560,-3,37,638682351670000000,-1,0,178000
1.695761,,,62088,443,,,,,,,,,,,,,,,,,,
1.696555,,,,,,,,,62088,331,,,,,,,,,,,,
1.697609,,,,,,,62088,327,,,,,,,,,,,,,,
1.698831,62088,565,,,,,,,,,,,,,,,,,,,,
1.698942,,,,,62088,114,,,,,,,,,,,,,,,,
1.774102,,,,,,,,,,,3,4,0,0,0,560,-3,37,638682351670000000,-1,0,178000
1.791734,,,,,62136,113,,,,,,,,,,,,,,,,
1.791844,62136,563,,,,,,,,,,,,,,,,,,,,
1.796425,,,62136,442,,,,,,,,,,,,,,,,,,
1.797643,,,,,,,,,62136,331,,,,,,,,,,,,
1.799259,,,,,,,62136,330,,,,,,,,,,,,,,
1.887960,,,62184,439,,,,,,,,,,,,,,,,,,
1.889121,,,,,,,,,62184,332,,,,,,,,,,,,
1.890055,,,,,,,62184,326,,,,,,,,,,,,,,
1.891275,62184,561,,,,,,,,,,,,,,,,,,,,
1.892440,,,,,62184,115,,,,,,,,,,,,,,,,
1.911094,,,,,,,,,,,4,4,0,0,0,560,-3,37,638682351670000000,-1,0,178000
1.976084,,,,,,,,,,,4,4,0,0,0,560,-3,37,638682351680000000,-1,0,178000
1.983727,,,,,62232,115,,,,,,,,,,,,,,,,
1.983837,62232,562,,,,,,,,,,,,,,,,,,,,
1.989060,,,62232,444,,,,,,,,,,,,,,,,,,
1.990414,,,,,,,,,62232,327,,,,,,,,,,,,
1.991758,,,,,,,62232,327,,,,,,,,,,,,,,
2.066094,,,,,,,,,,,4,4,0,0,0,560,-3,37,638682351680000000,-1,0,178000
2.079838,,,62280,442,,,,,,,,,,,,,,,,,,
2.081062,,,,,,,,,62280,333,,,,,,,,,,,,
2.083020,,,,,,,62280,330,,,,,,,,,,,,,,
2.084240,62280,563,,,,,,,,,,,,,,,,,,,,
2.085019,,,,,62280,114,,,,,,,,,,,,,,,,
2.175714,62328,567,,,,,,,,,,,,,,,,,,,,
2.175825,,,,,62328,113,,,,,,,,,,,,,,,,
2.181181,,,62328,442,,,,,,,,,,,,,,,,,,
2.182399,,,,,,,,,62328,331,,,,,,,,,,,,
2.184307,,,,,,,62328,329,,,,,,,,,,,,,,
2.272368,,,62376,444,,,,,,,,,,,,,,,,,,
2.273594,,,,,,,,,62376,327,,,,,,,,,,,,
2.275501,,,,,,,62376,335,,,,,,,,,,,,,,
2.276721,62376,0,,,,,,,,,,,,,,,,,,,,
2.276832,,,,,62376,116,,,,,,,,,,,,,,,,
2.358108,,,,,,,,,,,4,4,0,0,0,560,-3,37,638682351680000000,-1,0,178000
2.361092,,,,,,,,,,,6,4,0,0,0,560,-3,37,638682351680000000,-1,0,178000
2.367706,62424,562,,,,,,,,,,,,,,,,,,,,
2.367817,,,,,62424,115,,,,,,,,,,,,,,,,
2.367930,,,,,,,62424,327,,,,,,,,,,,,,,
2.373684,,,62424,443,,,,,,,,,,,,,,,,,,
2.375590,,,,,,,,,62424,325,,,,,,,,,,,,
2.464808,,,62472,439,,,,,,,,,,,,,,,,,,
2.466382,,,,,,,,,62472,320,,,,,,,,,,,,
2.467488,,,,,,,62472,329,,,,,,,,,,,,,,
2.468712,62472,561,,,,,,,,,,,,,,,,,,,,
2.469540,,,,,62472,118,,,,,,,,,,,,,,,,
2.559710,,,,,,,62520,354,,,,,,,,,,,,,,
2.559820,62520,558,,,,,,,,,,,,,,,,,,,,
2.560055,,,,,62520,111,,,,,,,,,,,,,,,,
2.566093,,,62520,439,,,,,,,,,,,,,,,,,,
2.567315,,,,,,,,,62520,314,,,,,,,,,,,,
2.613107,,,,,,,,,,,15,5,0,0,0,560,-3,37,638682351680000000,-1,1,178000
