0,0,0
0.2,0,0
0.4,0,0
0.6,0,0
0.8,0,0
1,0,0
1.2,0,0
1.4,0,0
1.6,0,0
1.8,199,162
2,199,162
2.2,199,162
2.4,199,162
2.6,199,162
2.8,199,162
3,365,182
3.2,371,182
3.4,377,177
3.6,379,168
3.8,381,164
4,382,162
4.2,384,162
4.4,385,175
4.6,387,187
4.8,387,187
5,382,179
5.2,377,172
5.4,375,172
5.6,373,169
5.8,373,166
6,373,166
6.2,379,176
6.4,384,187
6.6,385,189
6.8,386,189
7,389,188
7.2,390,187
7.4,390,183
7.6,390,180
7.8,391,177
8,394,176
8.2,395,176
8.4,395,176
8.6,394,182
8.8,394,182
9,396,181
9.2,397,175
9.4,397,175
9.6,394,178
9.8,393,182
10,393,184
10.2,395,184
10.4,395,184
10.6,393,180
10.8,390,174
11,390,172
11.2,391,169
11.4,392,169
11.6,393,169
11.8,394,172
12,394,173
12.2,391,174
12.4,389,182
12.6,389,191
12.8,409,194
13,428,196
13.2,430,196
13.4,433,198
13.6,436,199
13.8,438,203
14,441,208
14.2,446,213
14.4,451,215
14.6,456,216
14.8,459,220
15,466,239
15.2,475,261
15.4,481,261
15.6,484,273
15.8,489,284
16,496,288
16.2,500,288
16.4,501,284
16.6,508,282
16.8,520,282
17,526,285
17.2,532,289
17.4,542,298
17.6,551,310
17.8,560,310
18,571,315
18.2,584,315
18.4,591,318
18.6,597,331
18.8,601,341
19,604,350
19.2,607,357
19.4,612,370
19.6,620,382
19.8,630,385
20,643,389
20.2,652,393
20.4,657,404
20.6,664,425
20.8,675,433
21,689,439
21.2,702,440
21.4,716,448
21.6,729,455
21.8,741,455
22,759,447
22.2,775,453
22.4,783,464
22.6,792,490
22.8,806,496
23,821,494
23.2,837,494
23.4,851,489
23.6,871,467
23.8,886,447
24,887,447
24.2,888,449
24.4,888,452
24.6,888,453
24.8,887,453
25,884,469
25.2,881,485
25.4,880,492
25.6,876,508
25.8,869,524
26,869,524
26.2,869,519
26.4,878,498
26.6,887,477
26.8,887,477
27,886,489
27.2,877,525
27.4,872,548
27.6,872,548
27.8,878,540
28,886,507
28.2,891,481
28.4,899,470
28.6,911,470
28.8,916,474
29,922,505
29.2,926,531
29.4,930,516
29.6,934,521
29.8,944,509
30,947,505
30.2,948,505
30.4,950,498
30.6,949,499
30.8,941,508
31,932,523
31.2,932,523
31.4,938,519
31.6,942,519
31.8,944,514
32,947,501
32.2,950,486
32.4,951,484
32.6,951,486
32.8,950,484
33,951,470
33.2,951,455
33.4,952,455
33.6,954,460
33.8,966,460
34,981,466
34.2,989,455
34.4,1002,455
34.6,1014,474
34.8,1016,484
35,1019,486
35.2,1026,486
35.4,1037,476
35.6,1045,467
35.8,1050,467
36,1057,472
36.2,1068,472
36.4,1081,457
36.6,1094,438
36.8,1100,437
